Extracting raw source data: XBRU
Checking updates from 20161024 and adding to XBRU.db...

('AQR Capital Management, LLC', 'Telenet', 'BE0003826436', 0.7, '20170103', 'XBRU', '20170424_22h30')
('Numeric Investors LLC', 'Ablynx', 'BE0003877942', 0.98, '20170104', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Ablynx', 'BE0003877942', 0.7, '20170104', 'XBRU', '20170424_22h30')
('Linden Advisors LP', 'Ablynx', 'BE0003877942', 1.64, '20170104', 'XBRU', '20170424_22h30')
('gle.be', 'Ablynx', 'BE0003877942', 1.29, '20170104', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.57, '20170104', 'XBRU', '20170424_22h30')
('GLG PARTNERS LP', 'BPOST', 'BE0974268972', 0.5, '20170104', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Celyad', 'BE0974260896', 0.61, '20170104', 'XBRU', '20170424_22h30')
('Hengistbury Investment Partners LLP', 'Colruyt', 'BE0974256852', 0.52, '20170104', 'XBRU', '20170424_22h30')
('Linden Advisors LP', 'Econocom', 'BE0974266950', 0.63, '20170104', 'XBRU', '20170424_22h30')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 1.12, '20170104', 'XBRU', '20170424_22h30')
('Monarch Alternative Capital LP', 'Euronav NV', 'BE0003816338', 0.54, '20170104', 'XBRU', '20170424_22h30')
('BlackRock Investment Management (UK) Limited', 'EVS Broadcasting', 'BE0003820371', 0.59, '20170104', 'XBRU', '20170424_22h30')
('BlackRock Investment Management (UK) Limited', 'Fagron', 'BE0003874915', 0.6, '20170104', 'XBRU', '20170424_22h30')
('Marshall Wace LLP', 'Nyrstar', 'BE0003876936', 0.89, '20170104', 'XBRU', '20170424_22h30')
('Och-Ziff Management Europe Ltd.', 'Nyrstar', 'BE0003876936', 0.81, '20170104', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.59, '20170104', 'XBRU', '20170424_22h30')
('Polygon Global  Partners LLP', 'Nyrstar', 'BE0003876936', 0.82, '20170104', 'XBRU', '20170424_22h30')
('Menta Capital LLC', 'Nyrstar', 'BE0003876936', 0.5, '20170104', 'XBRU', '20170424_22h30')
('JPMorgan Asset Management (UK) Ltd', 'Nyrstar', 'BE0003876936', 0.7, '20170104', 'XBRU', '20170424_22h30')
('Adelphi Capital LLP', 'Ontex', 'BE0974276082', 1.22, '20170104', 'XBRU', '20170424_22h30')
('Citadel Advisors LLC', 'Proximus', 'BE0003810273', 1.06, '20170104', 'XBRU', '20170424_22h30')
('Marshall Wace LLP', 'Solvay SA', 'BE0003470755', 0.68, '20170104', 'XBRU', '20170424_22h30')
